DateTime, Return, Max Opposite Excursion
20241002 08:57:00,27.700001,-10.75
20241002 09:00:00,11.7,-13.5
20241002 09:01:00,1.45,-21.75
20241002 09:43:00,-20.299999,21.25
20241002 09:49:00,-20.299999,20.75
20241002 10:03:00,-20.799999,20.75
20241002 10:10:00,-20.799999,3.75
20241002 12:00:00,53.450001,-2.5
20241002 12:34:00,34.950001,-9.75
20241002 12:50:00,-20.299999,16
20241002 13:50:00,-20.799999,28.75
20241002 14:10:00,-20.799999,5.5
20241002 15:00:00,0.2,-15.25
20241002 20:09:00,-21.799999,19.5
20241002 20:42:00,-20.299999,25.5
20241003 09:14:00,75.199997,-13.25
20241003 09:24:00,33.200001,-13.75
20241003 09:42:00,-20.299999,39
20241003 20:47:00,-21.299999,2.25
20241003 22:47:00,11.7,-11.25
20241003 23:41:00,10.7,-18.75
20241003 23:43:00,5.2,-3.25
20241004 00:51:00,6.2,-17
20241004 01:02:00,4.95,-10
20241004 01:29:00,8.2,-3
20241004 02:51:00,-20.799999,17.75
20241004 03:09:00,4.95,-5.75
20241004 03:44:00,-20.299999,4.5
20241004 03:47:00,2.95,-12.75
20241004 03:55:00,0.7,-15.5
20241004 04:12:00,1.95,-9.25
20241004 04:17:00,2.95,-1.75
20241004 04:59:00,-21.299999,3
20241006 17:34:00,9.2,-14
20241006 18:22:00,12.45,-7.25
20241006 20:48:00,25.200001,-3
20241007 03:56:00,-21.049999,30.25
20241007 07:56:00,-21.049999,1.25
20241007 08:32:00,-21.549999,17.25
20241007 08:38:00,33.950001,-10.25
20241007 08:40:00,9.45,-6.5
20241007 08:42:00,-20.799999,3.75
20241007 08:45:00,-20.299999,25.5
20241007 08:52:00,-21.549999,23.75
20241007 09:08:00,-20.799999,8.5
20241007 09:16:00,6.45,-3.75
20241007 09:45:00,2.95,-6.25
20241007 09:48:00,12.95,-3.75
20241007 09:49:00,3.7,-12.25
20241007 09:50:00,-0.3,3.25
20241007 09:53:00,3.2,-6
20241007 10:01:00,0.2,-13
20241007 10:06:00,-20.299999,10
20241007 10:12:00,5.2,-9.75
20241007 10:51:00,2.95,-6.5
20241007 11:10:00,-20.549999,5.75
20241007 11:17:00,7.45,-5.5
20241007 11:36:00,10.7,-8.5
20241007 11:38:00,3.2,-5.75
20241007 11:46:00,-20.549999,12
20241007 12:02:00,8.7,-5
20241007 12:03:00,-0.55,1
20241007 12:07:00,4.95,-5
20241007 12:30:00,-20.799999,10.25
20241007 12:59:00,10.7,-7.25
20241007 13:00:00,-0.3,0.5
20241007 13:02:00,-21.299999,11.5
20241007 17:34:00,-23.799999,56.75
20241007 17:36:00,40.950001,-19.75
20241007 18:03:00,20.450001,-15.75
20241007 20:48:00,26.700001,-2.5
20241008 01:33:00,23.950001,-5.75
20241008 02:09:00,26.450001,-4.5
